timestamp,overall_cpu,process_cpu,process_status,core_0,core_1,core_2,core_3,core_4,core_5,core_6,core_7
2026-01-21 23:02:15,29.9,75.0,running,36.8,23.8,54.4,40.2,52.0,25.2,38.2,31.7
2026-01-21 23:02:19,31.2,87.5,running,17.6,15.7,42.2,22.3,53.1,18.1,22.8,17.4
2026-01-21 23:02:22,26.2,96.8,running,25.9,16.0,40.6,25.7,62.1,21.4,32.1,20.4
2026-01-21 23:02:26,20.2,81.2,running,18.3,9.8,43.8,14.2,56.7,13.3,19.5,11.1
