n_qubits,depth,circuit_seed,mode,num_threads,trials,mean_ms,std_ms,min_ms,final_rank,trace,purity,frobenius_vs_sequential,fidelity_vs_sequential,status
4,10,42,sequential,1,3,75.55923333328944,0.7592232273390623,74.63109999991957,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,row,1,3,75.17350000004323,8.421068598838005,64.5179000000553,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,row,4,3,50.435866666665184,9.291444097416644,37.76570000002266,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,row,8,3,51.747033333337335,21.091050351630088,35.89109999995799,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,column,1,3,66.85473333338147,18.310506179497242,40.96070000002783,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,column,4,3,73.52406666670201,6.427938489814511,64.4544000000451,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,column,8,3,58.13806666670492,11.821459123246242,41.76710000001549,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,batch,1,3,77.93639999999868,6.530099399481031,70.39039999995111,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,batch,4,3,70.1769999999821,10.270903645072382,59.159300000033,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,batch,8,3,63.77873333334113,17.90415908485566,38.5426999999936,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,hybrid,1,3,61.81603333330562,15.8853814243064,39.55529999996088,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,hybrid,4,3,72.00300000003305,6.962081856790776,62.29229999996733,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,hybrid,8,3,75.10096666665807,10.703174140202366,62.19869999995353,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,layer-parallel,1,3,77.29416666666111,4.020379652331088,71.66780000000017,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
4,10,42,layer-parallel,4,3,74.88553333333432,1.1946562136811143,73.34400000002006,14,0.9999999999999999,0.9347920080271536,0.0,0.999999999999442,ok
