algo,competitor,noisy,n_qubits,lret_mean_ms,comp_mean_ms,time_ratio,lret_peak_mb,comp_peak_mb,memory_ratio,accuracy_ratio,pvalue,simulated,status
vqe_noiseless,lightning.qubit,False,8,1462.9635499986762,106.6473999999289,13.717761051836721,0.7843839999999886,1.4336000000000126,0.5471428571428444,1.0,1.0,False,ok
vqe_noisy,default.mixed,True,8,2032.0341499991628,13480.661950000467,0.15073697104310907,0.05529599999999846,0.02047999999999206,2.7000000000009714,1.0002094925373142,1.0,False,ok
qaoa,lightning.qubit,False,8,1504.1644000002634,40.57775000001129,37.068698979116505,0.05324799999999641,0.0,nan,0.9999999999999998,1.0,False,ok
qnn,default.mixed,True,8,2052.976949999902,13584.935449999648,0.15112158298845324,0.028672000000000253,0.0,nan,1.0000434773860793,1.0,False,ok
qft,lightning.qubit,False,8,1422.2746999994342,43.303800000103365,32.84410836915096,0.004096000000004096,0.0,nan,1.0000000000000004,1.0,False,ok
grover,lightning.qubit,False,8,1496.1933000004137,43.598799999926996,34.317304604780844,0.004096000000004096,0.0,nan,1.0,1.0,False,ok
qpe,lightning.qubit,False,8,1401.6690999997081,40.9815000002709,34.20248404744684,0.002048000000002048,0.0,nan,0.9999999999999998,1.0,False,ok
metrology,default.mixed,True,8,2060.870149999573,13434.297199999492,0.15340364436776427,0.0,0.0020479999999736265,0.0,1.0001387766405119,1.0,False,ok
uccsd_vqe,default.mixed,True,8,2002.879949999624,13435.488199998872,0.14907384980620147,0.0020479999999736265,0.0,nan,1.0000785219520518,1.0,False,ok
portfolio_opt,lightning.qubit,False,8,1485.3914000004806,41.63550000066607,35.67607930676269,0.0061440000000061445,0.0,nan,0.9999999999999998,1.0,False,ok
qsvm,default.qubit,False,8,1465.6139999997322,75.56999999906111,19.39412465287735,0.0,0.0,nan,1.0000000000000002,1.0,False,ok
qae,lightning.qubit,False,8,1455.6074499996612,40.549250000367465,35.89727183576688,0.0,0.0,nan,0.9999999999999998,1.0,False,ok
vqd,default.mixed,True,8,1943.6973000001672,13515.396499999952,0.1438135610745992,0.014335999999985916,0.0,nan,1.000060614536374,1.0,False,ok
qgan,default.mixed,True,8,2019.6452499994848,13515.575450000142,0.14943094783281785,0.0,0.0,nan,1.0001681427971096,1.0,False,ok
number_partition,lightning.qubit,False,8,1419.1248500001166,40.931300000011106,34.67089611128235,0.002048000000002048,0.0,nan,0.9999999999999996,1.0,False,ok
vqt,default.mixed,True,8,1965.5067000003328,13389.306699999906,0.14679674937914047,0.0,0.0,nan,1.0000146088778428,1.0,False,ok
quantum_walk,lightning.qubit,False,8,1415.0713999997606,40.8356999996613,34.652801348121805,0.004096000000004096,0.0,nan,0.9999999999999996,1.0,False,ok
kernel_alignment,default.qubit,False,8,1458.7822499997856,75.78009999906499,19.250202230107703,0.004096000000004096,0.0,nan,0.9999999999999998,1.0,False,ok
subsampling_qnn,default.mixed,True,8,2097.8335500003595,13305.244149999453,0.15766967718517558,0.002048000000002048,0.07372799999998847,0.027777777777809903,1.0000823154096723,1.0,False,ok
adapt_vqe,default.mixed,True,8,2024.2981999999756,13419.240150000405,0.15085043395694164,0.0,0.0,nan,1.0001345324576998,1.0,False,ok
