algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
qpe,0,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
qpe,1,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
qpe,2,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
qpe,3,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
qpe,4,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
qpe,5,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
qpe,6,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
qpe,7,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
qpe,8,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
qpe,9,0.999821031624527,0.9994051172858073,0.9998210316245268,0.9994051172858075
