algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
qft,0,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
qft,1,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
qft,2,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
qft,3,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
qft,4,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
qft,5,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
qft,6,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
qft,7,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
qft,8,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
qft,9,0.9963521212219958,0.997007794755169,0.9963521212219956,0.997007794755169
