algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
metrology,0,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
metrology,1,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
metrology,2,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
metrology,3,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
metrology,4,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
metrology,5,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
metrology,6,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
metrology,7,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
metrology,8,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
metrology,9,0.9985030242822642,0.9948249908593189,0.9984991533662289,0.9947943764833175
