algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
grover,0,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
grover,1,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
grover,2,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
grover,3,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
grover,4,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
grover,5,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
grover,6,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
grover,7,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
grover,8,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
grover,9,0.9989524176840314,0.9997895602360597,0.9989524176840312,0.9997895602360595
