algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
vqd,0,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
vqd,1,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
vqd,2,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
vqd,3,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
vqd,4,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
vqd,5,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
vqd,6,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
vqd,7,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
vqd,8,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
vqd,9,0.9986589850581378,0.9957170876973538,0.9986562540167578,0.9956929239366112
