n_qubits,lret_backend,lret_memory_mb,lret_time_ms,lret_std_ms,lret_rank,lret_trace,lret_purity,fdm_memory_mb,fdm_theoretical_gb,fdm_time_ms,fdm_oom,system_ram_gb
4,numpy,0.34952533333333236,93.34219999921818,13.708089103511158,15.0,0.9999999999999999,0.9143663148675737,0.17476266666667092,4.096e-06,53.401133336592466,False,68.348035072
6,numpy,1.927850666666662,7004.550566673667,2357.6574416366216,32.0,1.0000000000000004,0.8728471055224041,0.06553600000000001,6.5536e-05,117.05706666301315,False,68.348035072
8,cpp,21.228202666666657,2328.353966666666,643.9423602868626,52.666666666666664,1.0000000000000009,0.841478103806975,1.0485760000000002,0.001048576,820.0178999977652,False,68.348035072
10,cpp,2.1981866666666616,8828.2224,2242.748663889257,71.0,1.0000000000000002,0.8019316126584183,16.777216000000003,0.016777216,19920.161266665673,False,68.348035072
12,cpp,7.5816960000000035,29042.714266666666,15301.112262929768,98.66666666666667,0.9999999999999994,0.7754597748381757,268.43545600000004,0.268435456,383125.44380000327,False,68.348035072
14,cpp,33.34007466666668,99378.38309999999,8833.82373015391,122.66666666666667,0.9999999999999946,0.7433877271909797,4294.967296000001,4.294967296,6452412.362533341,False,68.348035072
16,cpp,157.30141866666665,694765.0176333333,8405.985287909296,149.0,0.9999999999999953,0.7169517509600193,nan,68.719476736,nan,True,68.348035072
18,cpp,639.7979306666666,3467601.9635,274467.35369222704,152.33333333333334,0.9999999999999625,0.6882693644558201,nan,1099.511627776,nan,True,68.348035072
