algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
qaoa,0,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,1,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,2,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,3,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,4,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,5,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,6,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,7,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,8,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,9,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,10,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,11,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,12,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,13,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,14,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,15,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,16,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,17,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,18,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,19,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,20,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,21,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,22,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,23,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,24,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,25,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,26,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,27,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,28,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
qaoa,29,0.9973856023568833,0.9960848754524787,0.9973856023568834,0.996084875452479
