algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
qae,0,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,1,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,2,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,3,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,4,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,5,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,6,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,7,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,8,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,9,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,10,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,11,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,12,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,13,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,14,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,15,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,16,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,17,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,18,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,19,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,20,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,21,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,22,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,23,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,24,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,25,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,26,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,27,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,28,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
qae,29,0.9979873352262887,0.9921133124465542,0.9979873352262888,0.9921133124465545
