n_qubits,fdm_memory_mb,fdm_theoretical_gb,fdm_time_ms,fdm_oom,lret_memory_mb,lret_time_ms,lret_std_ms,lret_rank,system_ram_gb
4,0.22527999999999793,4.096e-06,7.298499927856028,False,0.07372800000000268,0.9652000153437257,0.0,1.0,68.348035072
6,0.07372800000001689,6.5536e-05,9.038300020620227,False,0.004096000000004096,1.5384999569505453,0.0,1.0,68.348035072
8,1.0485760000000002,0.001048576,11.633000103756785,False,0.012287999999983867,2.2991999285295606,0.0,1.0,68.348035072
10,16.777216000000003,0.016777216,16.49149996228516,False,0.028672000000000253,3.4587999107316136,0.0,1.0,68.348035072
12,268.43545600000004,0.268435456,16.963599948212504,False,0.13107199999998898,7.155200000852346,0.0,1.0,68.348035072
