algo,competitor,lret_mean_ms,comp_mean_ms,time_ratio,memory_ratio,accuracy_ratio,pvalue
vqe_noiseless,lightning.qubit,513.4398000082001,69.46890003746375,7.390930326107195,1.0,1.0000000000000002,1.0
vqe_noisy,default.mixed,414.8966000066139,53.182450064923614,7.801381837431709,1.0,0.9999999999999999,1.0
qaoa,lightning.qubit,419.9061999679543,21.85830002417788,19.210377728528208,1.0,1.0,1.0
qnn,default.mixed,403.80915004061535,51.38940003234893,7.857829626078977,1.0,1.0000000000000002,1.0
qft,lightning.qubit,444.07299999147654,14.028700010385364,31.65460802944905,1.0,1.0000000000000002,1.0
grover,lightning.qubit,461.02225000504404,13.826149981468916,33.3442245761075,1.0,1.0,1.0
qpe,lightning.qubit,347.829099977389,12.238999945111573,28.419732129855657,1.0,0.9999999999999999,1.0
metrology,default.mixed,402.2385000134818,35.111449949909,11.456049254226947,1.0,1.0,1.0
uccsd_vqe,default.mixed,434.2733999947086,47.51294996822253,9.140106019204408,1.0,1.0000000000000002,1.0
portfolio_opt,lightning.qubit,347.7651500143111,19.802950031589717,17.56127998402032,1.0,1.0000000000000002,1.0
qsvm,default.qubit,423.19930001394823,18.45555001636967,22.930733553786244,1.0,1.0,1.0
qae,lightning.qubit,384.0538500226103,24.341349955648184,15.777836920400306,1.0,0.9999999999999999,1.0
vqd,default.mixed,442.7626000251621,53.700099990237504,8.24509824200802,1.0,1.0000000000000002,1.0
qgan,default.mixed,382.17960007023066,43.71030000038445,8.743467788298622,1.0,0.9999999999999999,1.0
number_partition,lightning.qubit,438.5985500412062,19.759950053412467,22.196339001649545,1.0,0.9999999999999999,1.0
vqt,default.mixed,345.81515000900254,40.77594995032996,8.480860664932324,1.0,1.0000000000000002,1.0
quantum_walk,lightning.qubit,345.0464499765076,21.048299968242645,16.393079274673415,1.0,1.0,1.0
kernel_alignment,default.qubit,362.12110001361,21.40695002162829,16.916052947652265,1.0,1.0,1.0
subsampling_qnn,default.mixed,412.1908000088297,44.020799978170544,9.363546328400002,1.0,0.9999999999999999,1.0
adapt_vqe,default.mixed,394.17444996070117,47.510549949947745,8.296566770453364,1.0,1.0000000000000002,1.0
