mode,n_qubits,n_threads,mean_ms,std_ms,speedup_vs_baseline,peak_memory_mb,final_rank
baseline,4,1,2.012073195741857,0.08347552523444157,1.5758931517591834,0.001024,4.0
baseline,4,2,1.284979171193775,0.015517076733263635,2.4675982623609767,0.001024,4.0
baseline,4,4,0.9935385400416379,0.014158498287882848,3.1914336910120493,0.001024,4.0
baseline,4,8,0.7815059267927048,0.03381515169257032,4.057310714226826,0.001024,4.0
baseline,4,16,0.6690763653092251,0.005369908441864912,4.739088890910624,0.001024,4.0
phase1_2,4,1,1.4142312114632938,0.024278938401434358,2.2420749480751403,0.001024,4.0
phase1_2,4,2,0.8874406327438025,0.03251829604752249,3.572985338978948,0.001024,4.0
phase1_2,4,4,0.6429889041432579,0.025885392600549118,4.931364055547295,0.001024,4.0
phase1_2,4,8,0.45596343628448976,0.0040384314849893355,6.954093503298889,0.001024,4.0
phase1_2,4,16,0.3836813146264015,0.011665439568012359,8.264182406420531,0.001024,4.0
phase3_4,4,1,1.1891054204616966,0.12992937709404528,2.666552784509778,0.001024,4.0
phase3_4,4,2,0.648116499415345,0.010607399061647038,4.892349404571776,0.001024,4.0
phase3_4,4,4,0.4218261782935598,0.004364763974930297,7.516869585559853,0.001024,4.0
phase3_4,4,8,0.29221847303339765,0.015402530852052648,10.850827933952742,0.001024,4.0
phase3_4,4,16,0.2236948432810721,0.006760539366256632,14.174722686940479,0.001024,4.0
full_opt,4,1,0.8096239696390364,0.022247260855751516,3.916401303461267,0.001024,4.0
full_opt,4,2,0.44721315184990196,0.009094096170473104,7.090159036897077,0.001024,4.0
full_opt,4,4,0.2848220707976751,0.0010248599350636822,11.132607670211804,0.001024,4.0
full_opt,4,8,0.18493464989960465,0.008045825545155233,17.14558289498017,0.001024,4.0
full_opt,4,16,0.17621184094519549,0.009874416608845485,17.994320659722167,0.001024,4.0
baseline,6,1,3.0936773745829926,0.0601874710457706,1.2747758200767507,0.004096,4.0
baseline,6,2,1.858469499011864,0.03994492087110846,2.122039191029924,0.004096,4.0
baseline,6,4,1.3008609684413992,0.019774470439326453,3.031642279929456,0.004096,4.0
baseline,6,8,1.1502545808396483,0.09218333912865684,3.428584574171501,0.004096,4.0
baseline,6,16,1.263652110778596,0.006168840634906636,3.120910477336199,0.004096,4.0
phase1_2,6,1,2.198307286365301,0.013874462557954104,1.7939917393248255,0.004096,4.0
phase1_2,6,2,1.4883372885527775,0.15732143603580817,2.649765710077535,0.004096,4.0
phase1_2,6,4,0.9427643494376821,0.08299072915997935,4.183171663830093,0.004096,4.0
phase1_2,6,8,0.641822999821698,0.02890092566187702,6.144599232705151,0.004096,4.0
phase1_2,6,16,0.512581340470952,0.018018826866695897,7.693891292674582,0.004096,4.0
phase3_4,6,1,1.6182550500995192,0.056063242790041046,2.4370355661762906,0.004096,4.0
phase3_4,6,2,0.9624026336841167,0.011938728592163161,4.097812053090613,0.004096,4.0
phase3_4,6,4,0.5533682795771415,0.0026716161861885523,7.126800103631801,0.004096,4.0
phase3_4,6,8,0.42328861427191145,0.03191169417806386,9.316917533963121,0.004096,4.0
phase3_4,6,16,0.43806240251190814,0.07883714184384755,9.002701646210594,0.004096,4.0
full_opt,6,1,1.2139445758427498,0.031090437662573356,3.2487027750003166,0.004096,4.0
full_opt,6,2,0.75736281549012,0.054913923310876245,5.207207208456316,0.004096,4.0
full_opt,6,4,0.3759388581070715,0.015092127914703574,10.490389666273078,0.004096,4.0
full_opt,6,8,0.25198443995938297,0.010465746482557811,15.65074856555671,0.004096,4.0
full_opt,6,16,0.1776242339844768,0.0007747854271794724,22.202742406092973,0.004096,4.0
baseline,8,1,4.354799066436259,0.10156502611522944,1.1099086189992466,0.016384,4.0
baseline,8,2,3.4142739129104953,0.04745124986715088,1.4156535594788362,0.016384,4.0
baseline,8,4,2.153312683585636,0.022352138109840602,2.2446480043014403,0.016384,4.0
baseline,8,8,1.6807837699109245,0.04208312170209361,2.8756994828095177,0.016384,4.0
baseline,8,16,1.5376977779822334,0.04659423162325382,3.143289329708144,0.016384,4.0
phase1_2,8,1,3.156069136193078,0.0940337835214149,1.5314712096825827,0.016384,4.0
phase1_2,8,2,2.22483709465941,0.039224477336001096,2.172486709004375,0.016384,4.0
phase1_2,8,4,1.5102166197030475,0.1433217837337819,3.2004872379154916,0.016384,4.0
phase1_2,8,8,0.9796695179598535,0.031026277913945743,4.933734212648585,0.016384,4.0
phase1_2,8,16,0.843588385157932,0.025867311007734373,5.729605934466,0.016384,4.0
phase3_4,8,1,2.5340198518153922,0.1104072227412749,1.9074156085970555,0.016384,4.0
phase3_4,8,2,1.669966332191886,0.20112791618617876,2.8943272236533306,0.016384,4.0
phase3_4,8,4,1.0754501874597897,0.10653674436264154,4.4943309083092196,0.016384,4.0
phase3_4,8,8,0.6777538094759483,0.011223575249373952,7.131540908024955,0.016384,4.0
phase3_4,8,16,0.51113383788437,0.01121404821910324,9.456288470067811,0.016384,4.0
full_opt,8,1,1.9816850784721598,0.11697145982640333,2.4390500137256703,0.016384,4.0
full_opt,8,2,1.1275678366431743,0.10080777024233478,4.286597099325603,0.016384,4.0
full_opt,8,4,0.5742006218448328,0.011164133564897982,8.417665941075247,0.016384,4.0
full_opt,8,8,0.39230586148865587,0.013202640824195339,12.320562837135288,0.016384,4.0
full_opt,8,16,0.2886996108515946,0.00023504106396293745,16.742069736741314,0.016384,4.0
