epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381676,44.52,44.52,2181.61
2,1.205312,44.38,88.90,2133.64
3,1.124174,44.78,133.68,2094.38
4,1.098794,44.46,178.14,2048.66
5,1.085088,44.51,222.66,2003.96
6,1.074456,44.44,267.10,1958.75
7,1.065813,44.91,312.02,1916.69
8,1.059690,44.98,357.01,1874.28
9,1.056332,45.15,402.16,1832.06
10,1.055314,44.16,446.32,1785.29
11,1.055919,45.02,491.34,1742.04
12,1.057500,45.30,536.65,1699.39
13,1.059587,43.49,580.15,1651.19
14,1.061829,44.47,624.62,1606.18
15,1.063915,44.93,669.55,1562.29
16,1.065490,44.91,714.47,1518.25
17,1.066131,44.84,759.32,1473.97
18,1.065409,45.06,804.38,1430.01
19,1.063087,45.02,849.41,1385.87
20,1.059339,45.51,894.92,1342.38
21,1.054769,44.74,939.66,1297.63
22,1.050109,45.42,985.09,1253.75
23,1.045887,44.01,1029.10,1208.08
24,1.042279,44.62,1073.72,1163.20
25,1.039162,44.66,1118.39,1118.39
26,1.036352,44.86,1163.25,1073.77
27,1.033852,44.94,1208.19,1029.20
28,1.031838,44.77,1252.96,984.47
29,1.030466,43.94,1296.90,939.14
30,1.029823,44.61,1341.51,894.34
31,1.029990,42.90,1384.42,848.52
32,1.031023,43.32,1427.75,803.11
33,1.032869,44.34,1472.10,758.35
34,1.035355,43.54,1515.64,713.24
