epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.118045,1577.12,1577.12,156135.08
2,1.033010,1583.20,3160.33,154856.04
3,1.009938,1606.70,4767.02,154133.78
4,0.996443,1613.90,6380.92,153142.08
5,0.993877,1596.55,7977.47,151571.97
6,0.993878,1578.17,9555.64,149705.07
7,0.994093,1603.68,11159.33,148259.62
8,0.994262,1568.02,12727.34,146364.45
9,0.994374,1572.69,14300.03,144589.19
10,0.994443,1583.88,15883.91,142955.17
11,0.994485,1580.66,17464.57,141304.23
12,0.994510,1577.70,19042.26,139643.27
13,0.994524,1584.66,20626.92,138041.70
14,0.994531,1608.55,22235.47,136589.33
15,0.994536,1620.09,23855.56,135181.50
16,0.994538,1572.60,25428.16,133497.82
17,0.994539,1622.93,27051.09,132072.95
18,0.994540,1605.80,28656.88,130548.03
19,0.994540,1610.95,30267.83,129036.54
20,0.994541,1607.20,31875.04,127500.15
21,0.994541,1583.47,33458.50,125867.70
22,0.994541,1586.84,35045.35,124251.68
23,0.994541,1574.15,36619.50,122595.71
24,0.994541,1578.70,38198.19,120960.94
25,0.994541,1581.72,39779.92,119339.75
26,0.994540,1590.98,41370.90,117747.94
27,0.994540,1592.11,42963.00,116159.23
28,0.994540,1594.96,44557.97,114577.63
29,0.994540,1587.40,46145.37,112976.59
30,0.994540,1610.24,47755.60,111429.74
31,0.994540,1612.45,49368.05,109883.73
32,0.994540,1593.71,50961.77,108293.76
33,0.994540,1589.08,52550.84,106694.14
34,0.994540,1592.58,54143.43,105101.94
35,0.994540,1636.87,55780.29,103591.97
