epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381676,3.27,3.27,160.47
2,1.205312,3.25,6.53,156.62
3,1.124174,3.27,9.79,153.40
4,1.098794,3.24,13.03,149.81
5,1.085088,3.24,16.27,146.41
6,1.074456,3.30,19.56,143.48
7,1.065813,3.23,22.79,140.02
8,1.059690,3.25,26.05,136.74
9,1.056332,3.23,29.28,133.38
10,1.055314,3.25,32.53,130.11
11,1.055919,3.22,35.75,126.75
12,1.057500,3.25,39.00,123.52
13,1.059587,3.25,42.25,120.26
14,1.061829,3.34,45.59,117.24
15,1.063915,3.28,48.87,114.02
16,1.065490,3.26,52.13,110.77
17,1.066131,3.25,55.38,107.50
18,1.065409,3.35,58.73,104.40
19,1.063087,3.26,61.99,101.14
20,1.059339,3.23,65.22,97.83
21,1.054769,3.28,68.51,94.60
22,1.050109,3.26,71.76,91.34
23,1.045887,3.25,75.01,88.06
24,1.042279,3.24,78.26,84.78
25,1.039162,3.27,81.53,81.53
26,1.036352,3.23,84.76,78.24
27,1.033852,3.23,87.99,74.95
28,1.031838,3.23,91.22,71.67
29,1.030466,3.31,94.52,68.45
30,1.029823,3.36,97.88,65.26
31,1.029990,3.22,101.11,61.97
32,1.031023,3.38,104.49,58.78
33,1.032869,4.35,108.85,56.07
34,1.035355,3.89,112.74,53.05
35,1.038252,3.26,116.00,49.72
36,1.041346,3.32,119.32,46.40
37,1.044480,3.21,122.53,43.05
38,1.047555,3.14,125.67,39.69
39,1.050511,3.16,128.83,36.34
40,1.053307,3.15,131.98,32.99
41,1.055887,3.16,135.13,29.66
42,1.058154,3.15,138.29,26.34
43,1.059942,3.31,141.59,23.05
44,1.061000,3.15,144.75,19.74
45,1.061022,3.14,147.89,16.43
46,1.059743,3.16,151.05,13.13
47,1.057126,3.20,154.25,9.85
48,1.053505,3.71,157.96,6.58
49,1.049560,3.14,161.11,3.29
50,1.046087,3.27,164.38,0.00
