epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381676,3.88,3.88,189.93
2,1.205312,3.15,7.03,168.66
3,1.124174,3.23,10.26,160.76
4,1.098794,3.19,13.45,154.70
5,1.085088,3.25,16.70,150.34
6,1.074456,3.25,19.95,146.32
7,1.065813,3.14,23.09,141.83
8,1.059690,3.14,26.23,137.72
9,1.056332,3.13,29.37,133.78
10,1.055314,3.14,32.51,130.03
11,1.055919,3.13,35.64,126.35
12,1.057500,3.69,39.33,124.54
13,1.059587,3.14,42.46,120.86
14,1.061829,3.15,45.61,117.28
15,1.063915,3.21,48.82,113.92
16,1.065490,3.14,51.96,110.42
17,1.066131,3.16,55.12,107.00
18,1.065409,3.13,58.26,103.57
19,1.063087,4.58,62.84,102.52
20,1.059339,3.70,66.54,99.81
21,1.054769,3.44,69.98,96.64
22,1.050109,3.31,73.30,93.28
23,1.045887,3.23,76.52,89.83
24,1.042279,3.27,79.79,86.44
25,1.039162,3.22,83.01,83.01
26,1.036352,3.24,86.25,79.61
27,1.033852,3.22,89.47,76.21
28,1.031838,3.22,92.69,72.83
29,1.030466,3.22,95.91,69.45
30,1.029823,3.28,99.18,66.12
31,1.029990,3.21,102.40,62.76
32,1.031023,3.23,105.63,59.42
33,1.032869,3.23,108.86,56.08
34,1.035355,3.23,112.09,52.75
35,1.038252,3.27,115.36,49.44
36,1.041346,3.23,118.59,46.12
37,1.044480,3.63,122.22,42.94
38,1.047555,3.22,125.43,39.61
39,1.050511,3.24,128.68,36.29
40,1.053307,3.25,131.93,32.98
41,1.055887,3.31,135.24,29.69
42,1.058154,3.25,138.50,26.38
43,1.059942,3.21,141.71,23.07
44,1.061000,3.24,144.95,19.77
45,1.061022,3.23,148.18,16.46
46,1.059743,3.22,151.40,13.17
47,1.057126,3.23,154.64,9.87
48,1.053505,3.22,157.86,6.58
49,1.049560,3.27,161.13,3.29
50,1.046087,3.22,164.34,0.00
