n_qubits,lret_backend,lret_mean_ms,lret_std_ms,cirq_mean_ms,cirq_std_ms,cirq_status,speedup,fidelity,distortion,trace_distance,prob_tvd,lret_trace,lret_purity,final_rank,rank_pct,hilbert_dim
4,numpy,95.78106666837509,11.002137405663671,54.04610000065683,1.4905406159962244,ok,0.5642670506873957,0.9993395581108794,0.02653022883673092,0.001193570065939863,0.00045139381359547356,1.0,0.9147186309642038,15.0,93.75,16
6,numpy,6794.037766662465,2177.5496158311744,118.91836666715487,2.9336695452416617,ok,0.017503342011237138,0.9981817111118659,0.045400735295074386,0.0028201911346302103,0.0013244706506792322,1.0000000000000002,0.8850885266713739,32.0,50.0,64
8,cpp,2247.6693,666.5594490758696,915.58396666854,26.679505970150956,ok,0.4073481657949148,0.9966237614078309,0.05342140164525113,0.004628204054387176,0.0019046469373313092,1.0000000000000004,0.8427186529071395,52.666666666666664,20.572916666666664,256
10,cpp,8748.637366666668,2232.6587652013795,21455.67006666776,182.5457701649362,ok,2.4524584992419936,0.9940802718714474,0.062122840837307645,0.006833768517283975,0.003355679102037075,1.0000000000000002,0.8039194032717151,71.0,6.93359375,1024
12,cpp,31477.472266666664,18027.907262787623,384923.2628333363,1394.7586790951136,ok,12.228531553372347,0.9903328104565358,0.0793826172354155,0.010712440859345652,0.003799237639086711,1.0000000000000024,0.7658049590635447,98.66666666666667,2.408854166666667,4096
14,cpp,109677.37253333333,10927.111381740038,6479172.471400001,176637.08963666798,ok,59.07483304663266,0.9861441588045162,0.10216148973976952,0.0154150299648192,0.005413345434054659,1.0,0.7453084262736253,122.66666666666667,0.7486979166666667,16384
16,cpp,693245.6954333333,10332.840017427869,nan,nan,oom:DM would need 68.7 GB (>50% of 68 GB),nan,nan,nan,nan,nan,0.9999999999999781,0.7224338281698137,149.0,0.22735595703125,65536
18,cpp,3363397.6091000005,294228.0626690548,nan,nan,oom:DM would need 1099.5 GB (>50% of 68 GB),nan,nan,nan,nan,nan,0.9999999999999853,0.6908021487655278,152.33333333333334,0.058110555013020836,262144
20,,,,,,"lret_err:Command '['C:\\Users\\Jai Hind\\Downloads\\Kislaya\\Simulator\\NewLRET\\LRET\\benchmarks\\..\\build\\Release\\quantum_sim.exe', '--input-json', 'C:\\Users\\JAIHIN~1\\AppData\\Local\\Temp\\tmppn2x8af8.json', '--output-json', 'C:\\Users\\JAIHIN~1\\AppData\\Local\\Temp\\tmppn2x8af8_result.json', '--export-json-state']' timed out after 7200.0 seconds",,,,,,,,,,
