epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381676,42.31,42.31,2073.00
2,1.205312,43.00,85.31,2047.44
3,1.124174,44.10,129.41,2027.49
4,1.098794,44.27,173.69,1997.38
5,1.085088,44.35,218.04,1962.39
6,1.074456,43.12,261.17,1915.26
7,1.065813,44.04,305.22,1874.90
8,1.059690,44.42,349.64,1835.63
9,1.056332,45.11,394.76,1798.35
10,1.055314,44.46,439.22,1756.89
11,1.055919,44.56,483.78,1715.23
12,1.057500,44.24,528.03,1672.09
13,1.059587,43.54,571.57,1626.78
14,1.061829,43.77,615.35,1582.32
15,1.063915,44.16,659.51,1538.85
16,1.065490,44.45,703.96,1495.92
17,1.066131,45.06,749.03,1454.00
18,1.065409,42.69,791.72,1407.51
19,1.063087,43.32,835.05,1362.44
20,1.059339,43.16,878.21,1317.31
21,1.054769,43.73,921.94,1273.15
22,1.050109,43.15,965.09,1228.30
23,1.045887,43.34,1008.43,1183.81
24,1.042279,43.16,1051.60,1139.23
25,1.039162,43.54,1095.14,1095.14
26,1.036352,43.10,1138.25,1050.69
27,1.033852,43.19,1181.44,1006.41
28,1.031838,43.07,1224.51,962.12
29,1.030466,43.46,1267.97,918.18
30,1.029823,43.81,1311.79,874.52
31,1.029990,44.17,1355.96,831.07
32,1.031023,44.55,1400.51,787.79
33,1.032869,45.13,1445.65,744.73
34,1.035355,44.07,1489.73,701.05
35,1.038252,45.08,1534.81,657.77
36,1.041346,44.13,1578.94,614.03
37,1.044480,43.93,1622.88,570.20
38,1.047555,42.80,1665.68,526.00
39,1.050511,43.21,1708.89,482.00
40,1.053307,44.07,1752.97,438.24
41,1.055887,43.58,1796.55,394.36
42,1.058154,43.16,1839.72,350.42
43,1.059942,43.96,1883.68,306.65
44,1.061000,42.01,1925.70,262.60
45,1.061022,44.73,1970.43,218.94
46,1.059743,44.20,2014.63,175.19
47,1.057126,44.31,2058.95,131.42
48,1.053505,44.64,2103.59,87.65
49,1.049560,44.21,2147.81,43.83
50,1.046087,44.00,2191.81,0.00
