epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381649,6.62,6.62,324.38
2,1.205314,6.60,13.22,317.39
3,1.124174,6.60,19.83,310.63
4,1.098792,6.60,26.43,303.96
5,1.085084,6.61,33.04,297.36
6,1.074452,6.60,39.64,290.73
7,1.065808,6.59,46.24,284.03
8,1.059684,6.59,52.83,277.36
9,1.056326,6.60,59.43,270.73
10,1.055307,6.60,66.03,264.13
11,1.055911,6.61,72.65,257.56
12,1.057492,6.60,79.25,250.95
13,1.059578,6.60,85.85,244.34
14,1.061820,6.60,92.45,237.73
15,1.063905,6.60,99.06,231.13
16,1.065481,6.60,105.66,224.53
17,1.066123,6.61,112.27,217.94
18,1.065404,6.62,118.89,211.36
19,1.063083,6.61,125.50,204.76
20,1.059338,6.61,132.11,198.17
21,1.054769,6.60,138.72,191.56
22,1.050110,6.60,145.32,184.95
23,1.045889,6.60,151.92,178.34
24,1.042280,6.61,158.53,171.74
25,1.039163,6.61,165.14,165.14
26,1.036353,6.60,171.74,158.53
27,1.033852,6.61,178.35,151.93
28,1.031837,6.61,184.96,145.33
29,1.030464,6.62,191.58,138.73
30,1.029818,6.61,198.20,132.13
31,1.029983,6.61,204.81,125.53
32,1.031014,6.61,211.42,118.93
33,1.032858,6.61,218.03,112.32
34,1.035342,6.61,224.64,105.71
35,1.038237,6.61,231.25,99.11
36,1.041331,6.60,237.85,92.50
37,1.044464,6.61,244.47,85.89
38,1.047538,6.62,251.09,79.29
39,1.050495,6.62,257.71,72.69
40,1.053291,6.64,264.35,66.09
41,1.055871,6.61,270.97,59.48
42,1.058139,6.62,277.59,52.87
43,1.059929,6.62,284.21,46.27
44,1.060990,6.71,290.92,39.67
45,1.061016,6.64,297.56,33.06
46,1.059744,6.62,304.18,26.45
47,1.057133,6.63,310.81,19.84
48,1.053515,6.62,317.43,13.23
49,1.049571,6.63,324.07,6.61
50,1.046094,6.62,330.68,0.00
