mode,n_qubits,n_threads,mean_ms,std_ms,speedup_vs_baseline,peak_memory_mb,final_rank,status
baseline,4,1,89.14919999369886,10.836899993591942,1.095957114802685,0.00384,15.0,ok
baseline,4,2,93.82190000178525,6.598500003747176,1.041374135571787,0.00384,15.0,ok
baseline,4,4,78.77864999318263,7.079149996570777,1.240230697283044,0.00384,15.0,ok
baseline,4,8,91.48814999934984,4.409449997183401,1.0679383069037474,0.00384,15.0,ok
baseline,4,16,85.35364999988815,0.7923500015749596,1.1446926992833908,0.00384,15.0,ok
iterative_compression,4,1,116.50324999936856,5.875050002941862,0.8386349738105271,0.00384,15.0,ok
iterative_compression,4,2,91.39180000056513,9.291999987908639,1.0690641831264684,0.00384,15.0,ok
iterative_compression,4,4,91.10710000095423,9.224599998560734,1.0724048950195806,0.00384,15.0,ok
iterative_compression,4,8,104.00189999927534,1.7771000057109632,0.9394414910952831,0.00384,15.0,ok
iterative_compression,4,16,69.84275000286289,5.165449998457916,1.3989096936769647,0.00384,15.0,ok
full_opt,4,1,104.23749999608845,8.474300004309043,0.9373181438131969,0.00384,15.0,ok
full_opt,4,2,89.73469999909867,6.787100006476976,1.0888062256077429,0.00384,15.0,ok
full_opt,4,4,88.76169999712147,8.511399995768443,1.100741648878179,0.00384,15.0,ok
full_opt,4,8,90.3044000006048,11.585100000957027,1.0819373143657163,0.00384,15.0,ok
full_opt,4,16,94.75755000312347,4.341649997513741,1.0310914540196656,0.00384,15.0,ok
baseline,6,1,400.8551500082831,85.24535000469768,1.1657889389410356,0.038912,38.0,ok
baseline,6,2,369.52649999875575,68.02929998957552,1.264625135135855,0.038912,38.0,ok
baseline,6,4,408.11914999358123,66.74314999690978,1.1450393837303536,0.038912,38.0,ok
baseline,6,8,532.4468499966315,141.1131499990006,0.8776697617802838,0.038912,38.0,ok
baseline,6,16,574.7623500064947,109.27945000003092,0.8130534298078598,0.038912,38.0,ok
iterative_compression,6,1,402.8331999943475,85.6841999993776,1.1600645130633802,0.038912,38.0,ok
iterative_compression,6,2,379.85945000400534,69.10405000235187,1.2302247581106078,0.038912,38.0,ok
iterative_compression,6,4,409.32284999871626,62.73765000514686,1.1416721543853994,0.038912,38.0,ok
iterative_compression,6,8,546.2264500019955,92.38234999793349,0.8555288745089126,0.038912,38.0,ok
iterative_compression,6,16,588.7403999950038,111.7969000042649,0.7937496730327522,0.038912,38.0,ok
full_opt,6,1,397.74805000342894,79.22164999763481,1.174895766285158,0.038912,38.0,ok
full_opt,6,2,382.6868000032846,75.2232999948319,1.221135664969879,0.038912,38.0,ok
full_opt,6,4,385.35835000220686,69.28394999704324,1.2126699732717088,0.038912,38.0,ok
full_opt,6,8,557.7398000023095,137.61620000877883,0.8378683034548924,0.038912,38.0,ok
full_opt,6,16,591.1515500047244,121.5910500031896,0.7905121791416623,0.038912,38.0,ok
baseline,8,1,2592.956400003459,677.8555999990203,0.7637671809659171,0.278528,68.0,ok
baseline,8,2,2285.467300003802,603.0220000029658,0.8665251959609661,0.278528,68.0,ok
baseline,8,4,2150.7472500015865,566.7897500024992,0.9208032231573067,0.278528,68.0,ok
baseline,8,8,2187.4821499950485,516.6572500020266,0.9053399590038517,0.278528,68.0,ok
baseline,8,16,2872.855499997968,649.2140000045765,0.6893541982879318,0.278528,68.0,ok
iterative_compression,8,1,2579.756400002225,655.0852000000305,0.7676751959977565,0.278528,68.0,ok
iterative_compression,8,2,2257.668049998756,581.730450001487,0.8771949445797693,0.278528,68.0,ok
iterative_compression,8,4,2092.7525499937474,532.7387499928591,0.9463206722668152,0.278528,68.0,ok
iterative_compression,8,8,2232.670400000643,564.7813999967184,0.8870162832801493,0.278528,68.0,ok
iterative_compression,8,16,2877.580649997981,620.412349999242,0.6882222397483678,0.278528,68.0,ok
full_opt,8,1,2651.858099990932,716.5076000019326,0.7468027795321879,0.278528,68.0,ok
full_opt,8,2,2251.0994500116794,550.5396500011557,0.8797545572621857,0.278528,68.0,ok
full_opt,8,4,2142.3782000056235,586.0342000087257,0.9244002762878077,0.278528,68.0,ok
full_opt,8,8,2224.009550001938,557.2641500039026,0.8904705467638163,0.278528,68.0,ok
full_opt,8,16,2919.4397999963257,583.6707999987993,0.6783544569066527,0.278528,68.0,ok
