n_qubits,lret_mean_ms,lret_std_ms,cirq_mean_ms,cirq_std_ms,speedup,distortion,prob_tvd,final_rank,max_rank,hilbert_dim
4,86.60126667624961,29.037325403200285,52.70176664150009,1.290946942026378,0.6085565334571896,1.0207290488338254,0.6278135153695454,14.0,14.0,16
6,4283.664033321354,3437.9351619770764,122.43223333886515,0.1948701840102917,0.028581194133457027,0.9944638125174273,0.6759977246547773,27.333333333333332,27.333333333333332,64
8,37686.08426667439,6755.760797149869,826.7960000084713,9.653003129771658,0.021939026462868754,0.9877924224789896,0.5550182655236926,55.666666666666664,55.666666666666664,256
10,138905.5705666542,55978.9727524173,28709.47299998564,166.8311410939536,0.2066833812558246,0.9962520275896416,0.7082527751112747,82.0,82.0,1024
12,279387.914033335,96354.83645568544,362214.00529996026,8719.08400188719,1.2964555269085223,0.9992235416768573,0.7818915890503761,108.0,108.0,4096
