algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
qsvm,0,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
qsvm,1,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
qsvm,2,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
qsvm,3,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
qsvm,4,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
qsvm,5,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
qsvm,6,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
qsvm,7,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
qsvm,8,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
qsvm,9,0.999297407672437,0.9996893713125495,0.999297407672437,0.9996893713125495
