algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
qaoa,0,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
qaoa,1,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
qaoa,2,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
qaoa,3,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
qaoa,4,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
qaoa,5,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
qaoa,6,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
qaoa,7,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
qaoa,8,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
qaoa,9,0.9922536349272232,0.9947591233785944,0.9922536349272233,0.9947591233785945
