algo,epoch,lret_t0,lret_t1,comp_t0,comp_t1
qgan,0,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
qgan,1,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
qgan,2,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
qgan,3,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
qgan,4,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
qgan,5,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
qgan,6,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
qgan,7,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
qgan,8,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
qgan,9,0.9956813810352999,0.9945760334547946,0.9956813810353,0.9945760334547946
